timestamp,ear,mar,pitch,roll,yaw,blink_count,yawn_count,eye_closed_frames,norm_ear,norm_mar,norm_pitch,norm_roll,norm_yaw,baseline_progress,severity,severity_score,label
1783016352.623007,0.2529466581616687,0.3318858582992118,-171.27992206945044,-1.274656181501798,1.1571168270980532,1.0,0.0,0.0,0.9556069794770812,1.0671016301606389,-1.065403075081149,-1.3992171331475731,4.488000845120199,0.10666666666666667,low,0.55,low
1783016352.6808245,0.25599471501634596,0.3155116530420608,-171.26103153741974,-0.9617233678950442,0.9655287643982757,1.0,0.0,0.0,0.9682807912500134,1.0143456335138321,-1.0647965942453448,-1.0425288955440146,3.7167467548572253,0.1075,low,0.55,low
1783016352.7562387,0.21281325980549598,0.3708455467556454,178.38094394455752,-0.8176307232718691,0.7480201874695297,1.0,0.0,0.0,0.8050484277027018,1.1916930468320328,1.1095731707383034,-0.8975305915371875,2.872822051619653,0.10833333333333334,low,0.55,low
1783016352.8366416,0.21499089605460953,0.47667776990384764,176.5442527322708,-0.7692710747699556,0.2844478491898374,1.0,0.0,0.0,0.8133854572793259,1.5310772538487452,1.0986530261368121,-0.8552536858388481,1.0899285330461483,0.10916666666666666,medium,0.75,low
1783016352.9018269,0.2140998053371807,0.488305147402248,172.22335841118036,-1.3644355682713987,-0.08468503670044056,1.0,0.0,0.0,0.8127659827614071,1.5683230534272736,1.0718051905058004,-1.4977698707363882,-0.3252386031161163,0.11,medium,0.75,low
1783016353.0119028,0.1927270579973489,0.6067486881639711,168.49707304492978,-1.7713063922979957,-0.25128667440849706,1.0,0.0,1.0,0.7341247449248623,1.948610732420579,1.0486558733741362,-1.9201343738525147,-0.967313420464176,0.11083333333333334,medium,0.75,low
1783016353.1029718,0.1931468131433952,0.5864737463377561,166.1423560646482,-1.4517351662694633,0.11256658072337357,1.0,0.0,2.0,0.7358476967971637,1.8834565854935874,1.0351346031800535,-1.5529757239825699,0.43660147150896245,0.11166666666666666,medium,0.75,low
1783016353.1751673,0.23228510084007056,0.6139630947311138,166.95947907872178,-1.4749506344708316,0.08541121226492483,2.0,0.0,0.0,0.8851053619152323,1.9716966536311602,1.0413671989713715,-1.5572900357295836,0.3338055113066417,0.1125,medium,0.75,low
1783016353.2353284,0.24843979817279865,0.5875885703009489,166.53728937683218,-1.0529423998754672,-0.28362207519588245,2.0,0.0,0.0,0.9469516074098312,1.8865216316966167,1.03951117418157,-1.103221816436035,-1.1249118072822857,0.11333333333333333,medium,0.75,low
1783016353.3084583,0.26749998682155807,0.5707127597903646,168.91868588310885,-1.1117367234448539,-0.5338050017119058,2.0,0.0,0.0,1.0192891054645357,1.8318785491811214,1.0551652138910386,-1.155983893661801,-2.149100043058866,0.11416666666666667,medium,0.75,low
1783016353.6800337,0.26639125731248764,0.5937050704148845,167.6614618116705,-1.257380966134168,-0.2518176353104354,2.0,0.0,0.0,1.0148932304400164,1.905456489265302,1.047730790392381,-1.305267051868381,-1.2658496566432855,0.115,medium,0.75,medium
1783016353.7473967,0.2596408523347405,0.6059914682718041,167.825741905247,-1.7679911750685333,0.5896414744269308,2.0,0.0,0.0,0.9893424491825019,1.9446613265658967,1.049177072475073,-1.8322993677372554,2.37389779791557,0.11583333333333333,medium,0.75,medium
1783016353.8145003,0.28136942266076,0.5899606145133991,169.9119411188232,-2.0016083962376987,0.45517647455341587,2.0,0.0,0.0,1.0719568096645449,1.8930008887674712,1.0622999223458043,-2.066595068570647,1.8053368739673334,0.11666666666666667,medium,0.75,medium
1783016353.8931358,0.2673158837345432,0.5965379469342691,169.32463900711198,-2.073327638729085,0.522129315061678,2.0,0.0,0.0,1.0182441791006074,1.913886637608254,1.058708602244489,-2.1326044826294166,2.0405944179991957,0.1175,medium,0.75,medium
1783016353.9611945,0.296283200381828,0.6006956288755666,168.57682929776107,-1.6605518591344155,0.4393387499761705,2.0,0.0,0.0,1.12475070285462,1.9265198357307671,1.0541774262973975,-1.7077657025571849,1.7040221307057533,0.11833333333333333,medium,0.75,medium
1783016354.0201805,0.2825239632443728,0.575010098183768,167.77626151394693,-1.7631561414891908,0.7953640613350252,2.0,0.0,0.0,1.0688865773066047,1.8434672279656033,1.0493150452227815,-1.8130095510586617,3.061707639274032,0.11916666666666667,medium,0.75,medium
1783016354.102712,0.28680121037864154,0.635714996785113,168.1464689860806,-1.1834599718898184,0.3835347258079832,2.0,0.0,0.0,1.0849364540986857,2.037874519428518,1.0517646099795803,-1.2153910131868992,1.472991018585249,0.12,medium,0.75,medium
1783016354.179455,0.2783160287884783,0.6605200641004402,168.54330413320562,-1.1409780838395804,0.38317455807126183,2.0,1.0,0.0,1.052709484864411,2.1171714756417415,1.0543813786732927,-1.1702901972154416,1.46822303339159,0.12083333333333333,medium,0.75,medium
1783016354.2370665,0.27858925544608387,0.6406373771403987,167.1476103011693,-0.8587921114466759,0.1731830721031567,2.0,1.0,0.0,1.0524821274430427,2.0526830128685862,1.0459029857215962,-0.881963259628749,0.6651212852800867,0.12166666666666667,medium,0.75,medium
1783016354.305366,0.2843203422804025,0.6650089174047248,167.78217682638476,-0.7029893887043297,0.17445392676024357,2.0,2.0,0.0,1.0728499173775172,2.129985947464249,1.0501276367014085,-0.7228664813187524,0.671550232439034,0.1225,medium,0.75,medium
1783016354.3820374,0.2816644486287293,0.689555994899028,168.15159315535254,-1.0587515886088534,0.3838939081852789,2.0,2.0,0.0,1.0627488043820776,2.208095418951963,1.052883782533933,-1.08731786165756,1.4743704827646036,0.12333333333333334,medium,0.75,medium
1783016354.4565024,0.2849462497948112,0.6508731944881349,169.78122481893598,-1.2934762143881222,0.3425471124992078,2.0,2.0,0.0,1.0750510574457028,2.0837409980976753,1.0635364430950083,-1.3267060563825763,1.3125494634212702,0.12416666666666666,medium,0.75,medium
1783016354.5240846,0.28230769877433903,0.6587313374555979,169.0390286611593,-1.162879810262849,-0.1403030219637738,2.0,2.0,0.0,1.0650282909292903,2.1087362965811467,1.0590258047440502,-1.1903981888654946,-0.5388432319853997,0.125,medium,0.75,medium
1783016354.5810227,0.2965303530024127,0.6672165482739664,167.440459648509,-1.0475495586273664,-0.23587616939772799,2.0,2.0,0.0,1.1186129842551389,2.1357349712265323,1.049148125991891,-1.070224435230042,-0.9079915787941535,0.12583333333333332,medium,0.75,medium
1783016354.6501207,0.3004742979027546,0.6376709974466181,166.25575735319623,-1.1956048131375323,0.4081201301237553,2.0,2.0,0.0,1.1325528431759266,2.0410432220709733,1.0420502585101812,-1.2194762215378965,1.567412924369994,0.12666666666666668,medium,0.75,medium
1783016354.724546,0.2733140614031131,0.5991804055013372,167.9855147739278,-0.7344753440757288,-0.004745644556333711,2.0,2.0,0.0,1.029328180620434,1.9177329386079558,1.0532207803319698,-0.7503735301400208,-0.018268082376035194,0.1275,medium,0.75,medium
1783016354.795781,0.27146481340931383,0.6452239454612331,168.2918531284515,-1.1818817312544192,0.3558479612550098,2.0,2.0,0.0,1.0218375323513171,2.0650310899165825,1.0560424755160847,-1.205479145030018,1.3666581293421718,0.12833333333333333,medium,0.75,medium
1783016354.861586,0.26774081666273897,0.6431916192554711,168.2208241740964,-1.1225893794544435,0.7980221225101739,2.0,2.0,0.0,1.0073013629472007,2.0584583703553028,1.0564989653717807,-1.143123577153415,3.0578086064043366,0.12916666666666668,medium,0.75,medium
1783016355.2485776,0.27327421646853733,0.6593361189992194,169.9806519851925,-1.1586894130881202,0.5614211492676859,2.0,3.0,0.0,1.0272899895846594,2.1095962846650367,1.0676566085639874,-1.174224835950063,2.1186452546289534,0.13,medium,0.75,medium
1783016355.308745,0.270103136159798,0.6501897333624455,168.95910970234019,-0.6633364205286713,0.24177118827699481,2.0,3.0,0.0,1.0145509649887354,2.079808710001061,1.0613448104958383,-0.6754700478810728,0.9264029147068824,0.13083333333333333,medium,0.75,medium
1783016355.378176,0.287982805371911,0.6607971510340276,168.12433965111717,-0.7640383390627068,0.4918796477858849,2.0,3.0,0.0,1.081380851074121,2.113303494809934,1.056361313110316,-0.7792931047050762,1.8562152191620471,0.13166666666666665,medium,0.75,medium
1783016355.4460433,0.2708862375880001,0.6473540059682374,168.0526412965513,-0.24298087051330228,0.2724994936362456,2.0,3.0,0.0,1.0168736028383982,2.0698839260008066,1.0561710840483896,-0.24824034602959116,1.0129986234698962,0.1325,medium,0.75,medium
1783016355.5088456,0.28040058528030476,0.6700334080098403,167.93333232210387,-0.5177498322230928,0.4288062952545844,2.0,4.0,0.0,1.0507657241767936,2.1414443271091796,1.0556071375185716,-0.5300018601444915,1.5842609078443297,0.13333333333333333,medium,0.75,medium
